Feature_Encoder,Aggregation,Fusion,Modality,BA,MCC,AUC,F1_Score
conch_v1_5,small_clam_sb,Early_Fusion,HE_KI67,0.94 ± 0.04 (0.93-0.95),0.89 ± 0.06 (0.87-0.91),0.98 ± 0.02 (0.98-0.99),0.96 ± 0.02 (0.95-0.96)
conch_v1_5,small_clam_sb,Intermediate_Fusion_CA,HE_KI67,0.50 ± 0.19 (0.44-0.55),-0.00 ± 0.41 (-0.11-0.11),0.55 ± 0.35 (0.45-0.65),0.55 ± 0.26 (0.48-0.62)
conch_v1_5,small_clam_sb,Intermediate_Fusion_CONCAT,HE_KI67,0.51 ± 0.18 (0.46-0.56),0.03 ± 0.38 (-0.08-0.13),0.53 ± 0.32 (0.44-0.62),0.51 ± 0.28 (0.43-0.59)
conch_v1_5,small_clam_sb,Intermediate_Fusion_EWM,HE_KI67,0.59 ± 0.21 (0.53-0.65),0.20 ± 0.45 (0.08-0.33),0.64 ± 0.30 (0.56-0.73),0.60 ± 0.28 (0.52-0.68)
conch_v1_5,small_clam_sb,Late_Fusion_LA,HE_KI67,0.94 ± 0.04 (0.93-0.95),0.90 ± 0.06 (0.88-0.91),0.98 ± 0.02 (0.98-0.99),0.96 ± 0.02 (0.95-0.97)
conch_v1_5,small_clam_sb,Late_Fusion_LM_AL,HE_KI67,0.83 ± 0.20 (0.77-0.88),0.66 ± 0.40 (0.55-0.77),0.95 ± 0.10 (0.93-0.98),0.86 ± 0.18 (0.81-0.91)
conch_v1_5,small_clam_sb,Late_Fusion_LM_OHL,HE_KI67,0.94 ± 0.03 (0.93-0.95),0.89 ± 0.05 (0.88-0.91),0.98 ± 0.02 (0.98-0.99),0.96 ± 0.02 (0.95-0.96)
conch_v1_5,small_clam_sb,Late_Fusion_LM_SL,HE_KI67,0.87 ± 0.16 (0.83-0.92),0.76 ± 0.32 (0.68-0.85),0.97 ± 0.07 (0.95-0.99),0.91 ± 0.12 (0.88-0.94)
conch_v1_5,small_clam_sb,Late_Fusion_LM_THL,HE_KI67,0.95 ± 0.03 (0.94-0.95),0.90 ± 0.05 (0.88-0.91),0.98 ± 0.02 (0.97-0.98),0.96 ± 0.02 (0.96-0.97)
conch_v1_5,small_clam_sb,Late_Fusion_PA,HE_KI67,0.94 ± 0.04 (0.93-0.95),0.90 ± 0.06 (0.88-0.91),0.98 ± 0.02 (0.98-0.99),0.96 ± 0.02 (0.95-0.97)
conch_v1_5,small_clam_sb,Single_Stain,HE,0.91 ± 0.05 (0.90-0.92),0.85 ± 0.07 (0.83-0.87),0.97 ± 0.02 (0.97-0.98),0.94 ± 0.03 (0.93-0.95)
conch_v1_5,small_clam_sb,Single_Stain,KI67,0.92 ± 0.04 (0.91-0.93),0.87 ± 0.07 (0.85-0.89),0.98 ± 0.02 (0.97-0.98),0.95 ± 0.03 (0.94-0.96)
