Task,Modality,Feature_Encoder,Aggregation,Fusion,Fold,BA,MCC,AUC,F1-Score
LGG_vs_HGG,HE,conch_v1_5,small_clam_sb,Single_Stain,fold_0,0.9097435897435896,0.8417991557526169,0.9466666666666668,0.9397967691505992
LGG_vs_HGG,HE,conch_v1_5,small_clam_sb,Single_Stain,fold_1,0.9223076923076924,0.8446153846153847,0.9753846153846154,0.9405940594059404
LGG_vs_HGG,HE,conch_v1_5,small_clam_sb,Single_Stain,fold_2,0.8705128205128205,0.7410256410256411,0.933846153846154,0.900990099009901
LGG_vs_HGG,HE,conch_v1_5,small_clam_sb,Single_Stain,fold_3,0.852051282051282,0.7585751134107965,0.9666666666666668,0.907588493921458
LGG_vs_HGG,HE,conch_v1_5,small_clam_sb,Single_Stain,fold_4,0.903846153846154,0.8701790266729821,0.9717948717948718,0.94866027440081
LGG_vs_HGG,HE,conch_v1_5,small_clam_sb,Single_Stain,fold_5,0.7115384615384616,0.5937710859953544,0.9451282051282052,0.8281314617948281
LGG_vs_HGG,HE,conch_v1_5,small_clam_sb,Single_Stain,fold_6,0.9356410256410256,0.895004233807069,0.9784615384615384,0.9598645127670662
LGG_vs_HGG,HE,conch_v1_5,small_clam_sb,Single_Stain,fold_7,0.9615384615384616,0.9482093118615208,0.9938461538461538,0.979932256383533
LGG_vs_HGG,HE,conch_v1_5,small_clam_sb,Single_Stain,fold_8,0.8587179487179487,0.7871235414166942,0.9810256410256408,0.9171495744892214
LGG_vs_HGG,HE,conch_v1_5,small_clam_sb,Single_Stain,fold_9,0.9415384615384615,0.8724049066175185,0.9682051282051284,0.9507959533448596
LGG_vs_HGG,HE,conch_v1_5,small_clam_sb,Single_Stain,fold_10,0.9164102564102564,0.8682754062274087,0.9892307692307692,0.9494649344886468
LGG_vs_HGG,HE,conch_v1_5,small_clam_sb,Single_Stain,fold_11,0.8587179487179487,0.7871235414166942,0.9907692307692308,0.9171495744892214
LGG_vs_HGG,HE,conch_v1_5,small_clam_sb,Single_Stain,fold_12,0.974102564102564,0.9482051282051284,0.9866666666666668,0.9801980198019802
LGG_vs_HGG,HE,conch_v1_5,small_clam_sb,Single_Stain,fold_13,0.9415384615384615,0.8724049066175185,0.9825641025641024,0.9507959533448596
LGG_vs_HGG,HE,conch_v1_5,small_clam_sb,Single_Stain,fold_14,0.9415384615384615,0.8724049066175185,0.9907692307692308,0.9507959533448596
LGG_vs_HGG,HE,conch_v1_5,small_clam_sb,Single_Stain,fold_15,0.928974358974359,0.8691642098888374,0.984102564102564,0.9501736305301742
LGG_vs_HGG,HE,conch_v1_5,small_clam_sb,Single_Stain,fold_16,0.857948717948718,0.7353889996437128,0.948205128205128,0.8996612819176654
LGG_vs_HGG,HE,conch_v1_5,small_clam_sb,Single_Stain,fold_17,0.877948717948718,0.8143770700418893,0.9728205128205129,0.928124384161134
LGG_vs_HGG,HE,conch_v1_5,small_clam_sb,Single_Stain,fold_18,0.903846153846154,0.8701790266729821,0.9656410256410256,0.94866027440081
LGG_vs_HGG,HE,conch_v1_5,small_clam_sb,Single_Stain,fold_19,0.9156410256410256,0.8212359777160264,0.9651282051282052,0.9311143346828036
LGG_vs_HGG,HE,conch_v1_5,small_clam_sb,Single_Stain,fold_20,0.9482051282051284,0.8964102564102564,0.9687179487179488,0.9603960396039604
LGG_vs_HGG,HE,conch_v1_5,small_clam_sb,Single_Stain,fold_21,0.9164102564102564,0.8682754062274087,0.9471794871794872,0.9494649344886468
LGG_vs_HGG,HE,conch_v1_5,small_clam_sb,Single_Stain,fold_22,0.877948717948718,0.8143770700418893,0.975897435897436,0.928124384161134
LGG_vs_HGG,HE,conch_v1_5,small_clam_sb,Single_Stain,fold_23,0.8964102564102564,0.7928205128205128,0.9794871794871796,0.9207920792079208
LGG_vs_HGG,HE,conch_v1_5,small_clam_sb,Single_Stain,fold_24,0.9356410256410256,0.895004233807069,0.9964102564102564,0.9598645127670662
LGG_vs_HGG,HE,conch_v1_5,small_clam_sb,Single_Stain,fold_25,0.9023076923076924,0.7775716012359438,0.9461538461538462,0.9124120575322838
LGG_vs_HGG,HE,conch_v1_5,small_clam_sb,Single_Stain,fold_26,0.903846153846154,0.8701790266729821,0.9764102564102564,0.94866027440081
