Task,Modality,Feature_Encoder,Aggregation,Fusion,Fold,BA,MCC,AUC,F1-Score
5_class,HE,conch_v1,small_clam_sb,Single_Stain,fold_0,0.7464089635854342,0.7295375450074668,0.9434563708133924,0.8072466462186697
5_class,HE,conch_v1,small_clam_sb,Single_Stain,fold_1,0.7086946778711485,0.678208199717818,0.9375316039407128,0.7644384775839552
5_class,HE,conch_v1,small_clam_sb,Single_Stain,fold_2,0.7872717086834735,0.7828960323089399,0.955741467814906,0.843471625146693
5_class,HE,conch_v1,small_clam_sb,Single_Stain,fold_3,0.8268011204481793,0.7315771780593622,0.9667495006759902,0.8072708804105878
5_class,HE,conch_v1,small_clam_sb,Single_Stain,fold_4,0.7528403361344538,0.7562583141725087,0.9666616530420324,0.8235211626721061
5_class,HE,conch_v1,small_clam_sb,Single_Stain,fold_5,0.8140168067226892,0.7906882040273275,0.9616597569005488,0.8307419319316084
5_class,HE,conch_v1,small_clam_sb,Single_Stain,fold_6,0.824313725490196,0.7846926727150264,0.9383414333578692,0.8466781172357353
5_class,HE,conch_v1,small_clam_sb,Single_Stain,fold_7,0.8138823529411765,0.8001018595416941,0.9457942473613128,0.8502152802738359
5_class,HE,conch_v1,small_clam_sb,Single_Stain,fold_8,0.7715966386554622,0.7426862910906736,0.937946477211543,0.8136585291477682
5_class,HE,conch_v1,small_clam_sb,Single_Stain,fold_9,0.7391820728291316,0.7424906121179594,0.9507195068349048,0.8083329307918474
5_class,HE,conch_v1,small_clam_sb,Single_Stain,fold_10,0.7974117647058823,0.7495132227917005,0.9583352747175092,0.8151147094057748
5_class,HE,conch_v1,small_clam_sb,Single_Stain,fold_11,0.8671372549019608,0.8407963106001443,0.9742035665556972,0.8867295552396398
5_class,HE,conch_v1,small_clam_sb,Single_Stain,fold_12,0.8745098039215687,0.7855302052010904,0.9390211457210392,0.843242239027913
5_class,HE,conch_v1,small_clam_sb,Single_Stain,fold_13,0.729467787114846,0.6908100982550838,0.9369014374953808,0.7769010412930231
5_class,HE,conch_v1,small_clam_sb,Single_Stain,fold_14,0.6793165266106442,0.6846611838588232,0.9341612328167664,0.7710101670319524
5_class,HE,conch_v1,small_clam_sb,Single_Stain,fold_15,0.7338823529411764,0.7291126560053489,0.9431353450032132,0.8019696390424703
5_class,HE,conch_v1,small_clam_sb,Single_Stain,fold_16,0.8168403361344538,0.7741203732301533,0.963339829711234,0.8375664172630666
5_class,HE,conch_v1,small_clam_sb,Single_Stain,fold_17,0.7789803921568628,0.7697637736953077,0.9512292747532308,0.8334264922442809
5_class,HE,conch_v1,small_clam_sb,Single_Stain,fold_18,0.8003137254901962,0.7571712528296942,0.937408281731342,0.8272281937492982
5_class,HE,conch_v1,small_clam_sb,Single_Stain,fold_19,0.7192717086834733,0.7161730844053785,0.9522775156430828,0.7851686252477488
5_class,HE,conch_v1,small_clam_sb,Single_Stain,fold_20,0.7712156862745098,0.7705634777960176,0.9660238445067084,0.8290934017186458
5_class,HE,conch_v1,small_clam_sb,Single_Stain,fold_21,0.7077422969187674,0.729772826611954,0.929960634025516,0.7917108972822426
5_class,HE,conch_v1,small_clam_sb,Single_Stain,fold_22,0.719406162464986,0.7001080723284713,0.9397598170775496,0.7855736250072669
5_class,HE,conch_v1,small_clam_sb,Single_Stain,fold_23,0.7518879551820727,0.7067056781369707,0.9673671219811856,0.793680170030596
5_class,HE,conch_v1,small_clam_sb,Single_Stain,fold_24,0.7933109243697478,0.7462740603750627,0.954152062920734,0.8147844669669195
