,train,val,test
0,C1026435___7316-7102___H_and_E_B1,C77613___7316-7073___H_and_E_FSA,C27675___7316-247___HandE_B1
1,C1026435___7316-7102___FS_H_and_E,C77613___7316-7073___H_and_E_A2,C27675___7316-247___HandE_B2
2,C1026435___7316-6775___H_and_E_A1,C77613___7316-399___HandE,C51045___7316-275___HandE_B
3,C1031970___7316-4208___HandE,C77613___7316-399___HandE_(B),C51045___7316-275___HandE_C
4,C1032462___7316-3962___HandE_,C4158261___7316-9554___1_B_HE,C51045___7316-275___HandE_B
5,C1032585___7316-3945___HandE_A2,C4158261___7316-9554___1_A_HE,C51045___7316-275___HandE_C
6,C1039104___7316-4219___HandE_A1,C3156795___7316-8831___H_and_E_B2,C86100___7316-393___HandE
7,C1039104___7316-4219___HandE_B1,C3156795___7316-8831___H_and_E_A1,C2647698___7316-8723___H_and_E_B1
8,C1039104___7316-4219___HandE_C1,C3156795___7316-7494___H_and_E_DGD,C2647698___7316-6651___HandE_A1
9,C1046730___7316-4225___HandE_A1,C3156795___7316-7494___H_and_E_B1,C2647698___7316-6651___HandE_FS_(DGD)
10,C111684___7316-491___HandE_(B),C3409314___7316-8115___H_and_E_B1,C2479803___7316-5453___HandE
11,C111684___7316-491___HandE_(A),C3409314___7316-8115___H_and_E_A1,C717336___7316-2669___HandE_
12,C111930___7316-476___HandE_(A),C3384960___7316-7541___H_and_E_A1,C36654___7316-149___HandE
13,C111930___7316-476___HandE_(B),C3384960___7316-7541___H_and_E_B1,C262605___7316-925___HandE_
14,C112422___7316-449___HandE_(1),C3384960___7316-7541___H_and_E_C1,C36900___7316-148___HandE
15,C112422___7316-449___HandE_(3),C311190___7316-1744___HandE_B3,C83271___7316-396___HandE_C
16,C112422___7316-449___HandE_(2),C311190___7316-1744___HandE_B4,C83271___7316-396___HandE_(B)
17,C1206138___7316-1917___HandE_B1,C311190___7316-1744___HandE_B1,C4158138___7316-9555___1_A_HE
18,C121524___7316-495___HandE,C311190___7316-1744___HandE_A,C3686925___7316-8865___H_and_E_B2
19,C1277724___7316-8131___H_and_E_A1,C735540___7316-2725___HandE_A2,C1100727___7316-7511___H_and_E_B2
20,C1277724___7316-8131___H_and_E_B1,C70602___7316-186___HandE,C1100727___7316-7511___H_and_E_B1
21,C136161___7316-485___HandE,C28413___7316-82___HandE,C29151___7316-119___HandE_FSA
22,C136284___7316-470___HandE,C457929___7316-1943___HandE_A2,C114759___7316-487___HandE_(S14-765)
23,C136530___7316-7103___H_and_E_A1,C1026558___7316-3927___HandE_C2,C114759___7316-487___HandE_(S14-904)
24,C136530___7316-7103___FS_H_and_E,C83640___7316-6780___H_and_E_FS,C114759___7316-487___HandE_(S14-765)
25,C140097___7316-880___HandE_2,C83640___7316-6780___H_and_E_A1,C114759___7316-487___HandE_(S14-904)
26,C140097___7316-880___HandE_1,C311559___7316-938___HandE,C440832___7316-934___HandE_A
27,C140097___7316-880___HandE_2,C51291___7316-227___HandE_A,C19680___7316-397___HandE
28,C140097___7316-880___HandE_1,C51291___7316-227___HandE_D,C2653971___7316-6652___HandE_C1
29,C154980___7316-960___HandE,C51291___7316-227___HandE_B,C2653971___7316-6652___HandE_FS_(DGD)
30,C155103___7316-875___HandE_A,C146124___7316-884___HandE_(B),C2653971___7316-6652___HandE_B1
31,C16851___7316-48___HandE,C90159___7316-898___HandE_A1,C2421501___7316-5258___HandE
32,C17097___7316-33___HandE,C90159___7316-898___HandE_A2,C23616___7316-43___HandE
33,C177366___7316-154___HandE,C3503655___7316-7954___H_and_E_B1,C818688___7316-3062___HandE_B1
34,C187083___7316-957___HandE,C3503655___7316-7954___H_and_E_A1,C270477___7316-932___HandE_FSC
35,C216234___7316-916___HandE_C,C3702423___7316-8854___H_and_E_A2,C270477___7316-932___HandE_C2
36,C216234___7316-916___HandE_B,C3702423___7316-8854___H_and_E___C2,C270477___7316-932___HandE_C1
37,C230871___7316-891___HandE,C3702423___7316-8854___H_and_E_B1,C19557___7316-35___HandE
38,C231240___7316-902___HandE_C,C3702423___7316-8854___H_and_E_F3,C58179___7316-206___HandE
39,C2354097___7316-5307___HandE_D1,C3702423___7316-8854___H_and_E_____C2,C663093___7316-2572___HandE
40,C2402313___7316-5330___HandE,C2760612___7316-6776___H_and_E_A1,C90528___7316-441___HandE_(2)
41,C2421747___7316-5336___HandE_B1,C2760612___7316-6776___H_and_E_B1,C90528___7316-441___HandE_(B1)
42,C242679___7316-886___HandE_A,C801960___7316-3050___HandE,C311313___7316-943___HandE_C
43,C242679___7316-886___HandE_B1,C96186___7316-472___HandE,C60270___7316-199___HandE
44,C2439951___7316-5261___HandE,C2409078___7316-5334___HandE,C624471___7316-928___HandE
45,C245631___7316-924___HandE_B,C2819898___7316-7071___H_and_E_B1,C18327___7316-36___HandE
46,C245631___7316-924___HandE_C,C2819898___7316-7071___H_and_E_A1,C18327___7316-1845___HandE_BLOCK_2
47,C2501082___7316-6358___HandE,C2819898___7316-7071___H_and_E_FSA,C18327___7316-1845___HandE_BLOCK_1
48,C2544993___7316-5461___HandE,C3406485___7316-8118___H_and_E_B2,C18327___7316-1845___HandE_BLOCK_2
49,C2568486___7316-5476___HandE,C2579556___7316-5479___HandE,C18327___7316-1845___HandE_BLOCK_1
50,C2581647___7316-4544___H_and_E,C68019___7316-335___HandE_(C),C75768___7316-361___HandE_FS
51,C25953___7316-97___HandE_A2,C68019___7316-335___HandE_(B),C75768___7316-361___HandE_(B)
52,C25953___7316-97___HandE_A1,C973299___7316-3771___HandE_B1,C28659___7316-84___HandE
